"id","title","description","original_air_date","directed_by","written_by","season","number_in_season","number_in_series","us_viewers_in_millions","imdb_rating","tmdb_rating"
"130","Home Sweet Homediddly-Dum-Doodily","Marge and Homer lose custody of the kids, who are sent to live at the Flanders' house.","1995-10-01","Susie Dietter","Jon Vitti","7","3","131","14.5","",""
"131","Bart Sells His Soul","Bart casually sells his soul to Milhouse for $5 but soon regrets it","1995-10-08","Wes Archer","Greg Daniels","7","4","132","14.8","",""
"132","Lisa the Vegetarian","A trip to a local petting zoo convinces Lisa to give up meat, despite excessive pressure to convince her not to do so.","1995-10-15","Mark Kirkland","David X. Cohen","7","5","133","14.6","",""
"133","Treehouse of Horror VI","A lightning storm causes giant advertising mascots to come to life","1995-10-29","Bob Anderson","John Swartzwelder","7","6","134","19.7","",""
"134","King-Size Homer","Homer intentionally gains more weight in order to qualify for disability and work from home, but soon realizes that being morbidly obese comes with its own problems.","1995-11-05","Jim Reardon","Dan Greaney","7","7","135","17.0","",""
"135","Mother Simpson","After faking his own death, Homer is reunited with his mother, who harbors a deep secret.","1995-11-19","David Silverman","Richard Appel","7","8","136","15.3","",""
"136","Sideshow Bob's Last Gleaming","Sideshow Bob again escapes from prison and takes control of a TV screen at an air show, demanding all television stations immediately go off the air.","1995-11-26","Dominic Polcino","Spike Feresten","7","9","137","14.2","",""
"137","The Simpsons 138th Episode Spectacular","Troy McClure hosts a retrospective of the first 137 episodes of The Simpsons (1989).","1995-12-03","David Silverman","Jon Vitti","7","10","138","16.4","",""
"138","Marge Be Not Proud","Marge's relationship with Bart is strained when he is caught shoplifting before Christmas.","1995-12-17","Steven Dean Moore","Mike Scully","7","11","139","16.7","",""
"139","Team Homer","Homer starts a bowling team with Moe, Apu and Otto, but Mr. Burns insists on joining after learning that the team was funded with his money; Springfield Elementary introduces uniforms.","1996-01-07","Mark Kirkland","Mike Scully","7","12","140","16.7","",""
"140","Two Bad Neighbors","Former President George Bush and his wife, Barbara, move into the Simpsons' neighborhood and soon clash with Bart and Homer.","1996-01-14","Wes Archer","Ken Keeler","7","13","141","16.5","",""
"141","Scenes from the Class Struggle in Springfield","After buying a Chanel suit at a bargain price, Marge finds herself invited to a country club by a former schoolmate. Taken in by the opulence of the place, she is soon overcome by a desperation to fit in.","1996-02-04","Susie Dietter","Jennifer Crittenden","7","14","142","14.4","",""
"142","Bart the Fink","Krusty the Clown is left almost broke after Bart inadvertently rats him out to the IRS, forcing Krusty to take drastic action.","1996-02-11","Jim Reardon","Story by : Bob KushellTeleplay by : John Swartzwelder","7","15","143","15.0","",""
"143","Lisa the Iconoclast","Lisa may figure out what to do when she discovers that Springfield's founding father was actually a murderous thief while researching for an essay.","1996-02-18","Mike B. Anderson","Jonathan Collier","7","16","144","13.4","",""
"144","Homer the Smithers","When Smithers is forced to take a vacation, he appoints Homer as his temporary replacement.","1996-02-25","Steven Dean Moore","John Swartzwelder","7","17","145","14.1","",""
"145","The Day the Violence Died","Bart and Lisa meet a vagabond who claims to be the creator of Itchy from ""Itchy and Scratchy.""","1996-03-17","Wes Archer","John Swartzwelder","7","18","146","14.4","",""
"146","A Fish Called Selma","Washed-up movie star Troy McClure starts dating Selma in an attempt to silence bizarre rumors about his personal life and resuscitate his career.","1996-03-24","Mark Kirkland","Jack Barth","7","19","147","12.9","",""
"147","Bart on the Road","Bart makes a fake driver's license and takes Milhouse, Martin and Nelson on a huge road trip; Lisa spends time with Homer at the power plant.","1996-03-31","Swinton O. Scott III","Richard Appel","7","20","148","11.8","",""
"148","22 Short Films About Springfield","A series of vignettes highlights a day in the life of various Springfield residents.","1996-04-14","Jim Reardon","Richard Appel, David X. Cohen, Jonathan Collier, Jennifer Crittenden, Greg Daniels, Brent Forrester, Rachel Pulido, Steve Tompkins, Bill Oakley, Josh Weinstein & Matt Groening","7","21","149","10.5","",""
"149","Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish'","One of Grampa's old war buddies dies, and it's revealed that Mr. Burns is the only other living member of his WWII squad and things go sour quickly.","1996-04-28","Jeffrey Lynch","Jonathan Collier","7","22","150","13.0","",""
"150","Much Apu About Nothing","Anti-immigration fever sweeps Springfield, which threatens to lead to the deportation of Apu, until Homer decides to reject the mob mentality and help him become a legal citizen.","1996-05-05","Susie Dietter","David X. Cohen","7","23","151","11.3","",""
"151","Homerpalooza","In an attempt to prove his coolness to the kids, Homer takes them to a music festival but ends up embarrassing them after being hired in a sideshow.","1996-05-19","Wes Archer","Brent Forrester","7","24","152","12.9","",""
"152","Summer of 4 Ft. 2","After realizing how unpopular she is, a disillusioned Lisa sees the vacation to Ned Flanders' beach house as an opportunity to reinvent herself.","1996-05-19","Mark Kirkland","Dan Greaney","7","25","153","14.7","",""
"153","Treehouse of Horror VII","Bart's Siamese twin swells in the attic","1996-10-27","Mike B. Anderson","Ken Keeler","8","1","154","18.3","",""
"154","You Only Move Twice","After moving to another town for a new job, Homer must decide whether or not to stay when the family have a hard time with the transfer.","1996-11-03","Mike B. Anderson","John Swartzwelder","8","2","155","13.9","",""
"155","The Homer They Fall","Homer becomes a boxer after Moe discovers his amazing ability to take a punch.","1996-11-10","Mark Kirkland","Jonathan Collier","8","3","156","17.0","",""
"156","Burns, Baby Burns","The Simpsons try to reunite Mr. Burns with Larry, his slovenly long-lost son.","1996-11-17","Jim Reardon","Ian Maxtone-Graham","8","4","157","12.6","",""
"157","Bart After Dark","Marge leads a crusade against a local burlesque house after she discovers Bart working there.","1996-11-24","Dominic Polcino","Richard Appel","8","5","158","14.1","",""
"158","A Milhouse Divided","Homer questions the state of his marriage after Luann Van Houten demands a divorce from Kirk.","1996-12-01","Steven Dean Moore","Steve Tompkins","8","6","159","12.8","",""
"159","Lisa's Date with Density","Lisa develops a crush on Nelson, and tries to reform him; Homer gets an autodialer and decides to make easy money with a telemarketing scam.","1996-12-15","Susie Dietter","Mike Scully","8","7","160","12.2","",""
"160","Hurricane Neddy","After a hurricane destroys Ned Flanders' house, he suffers a nervous breakdown and is forced to confront repressed problems from his childhood.","1996-12-29","Bob Anderson","Steve Young","8","8","161","14.4","",""
"161","El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer)","After eating insanity peppers at a chili cook-off, Homer has a hallucination of a talking coyote urging him to find his soulmate.","1997-01-05","Jim Reardon","Ken Keeler","8","9","162","14.85","",""
"162","The Springfield Files","Special Agents Mulder and Scully arrive in Springfield after Homer claims to have seen an alien.","1997-01-12","Steven Dean Moore","Reid Harrison","8","10","163","20.41","",""
"163","The Twisted World of Marge Simpson","Marge enters the pretzel vending business, but when she fails, Homer recruits some help from the mob.","1997-01-19","Chuck Sheetz","Jennifer Crittenden","8","11","164","13.98","",""
"164","Mountain of Madness","Homer and Mr. Burns get trapped in a snowed-in cabin during a company retreat.","1997-02-02","Mark Kirkland","John Swartzwelder","8","12","165","17.49","",""
"165","Simpsoncalifragilisticexpiala(Annoyed Grunt)cious","Marge is stressed from motherhood and hires a British nanny to help out around the house, who struggles to teach Bart and Lisa how to behave.","1997-02-07","Chuck Sheetz","Al Jean & Mike Reiss","8","13","166","9.10","",""
"166","The Itchy & Scratchy & Poochie Show","Homer is cast as Poochie, a new ""Itchy and Scratchy"" character designed to reverse declining ratings; a hip college student moves in with the Simpsons.","1997-02-09","Steven Dean Moore","David X. Cohen","8","14","167","15.67","",""
"167","Homer's Phobia","After Marge befriends John, a gay store owner, Homer worries that his presence will have a negative effect on Bart's sexuality.","1997-02-16","Mike B. Anderson","Ron Hauge","8","15","168","15.26","",""
"168","Brother from Another Series","Bart suspects a paroled Sideshow Bob is up to his old tricks when he is hired by his brother Cecil to assist in the construction of a dam.","1997-02-23","Pete Michels","Ken Keeler","8","16","169","15.07","",""
"169","My Sister, My Sitter","Bart is outraged when Lisa becomes his babysitter.","1997-03-02","Jim Reardon","Dan Greaney","8","17","170","15.10","",""
"170","Homer vs. the Eighteenth Amendment","After alcohol is banned in Springfield, Homer adopts the moniker of the ""Beer Baron"" to bootleg liquor, prompting an investigation from an uptight Treasury agent.","1997-03-16","Bob Anderson","John Swartzwelder","8","18","171","14.60","",""
"171","Grade School Confidential","Bart discovers Principal Skinner and Mrs Krabappel kissing, and it's not long before the whole town knows of their secret affair.","1997-04-06","Susie Dietter","Rachel Pulido","8","19","172","13.27","",""
"172","The Canine Mutiny","When the items Bart purchased with a fake credit card are repossessed, he claims that Santa's Little Helper is the dog he bought instead of his new pet, Laddie.","1997-04-13","Dominic Polcino","Ron Hauge","8","20","173","13.25","",""
"173","The Old Man and the Lisa","Burns loses his fortune and recruits Lisa to help him get it back.","1997-04-20","Mark Kirkland","John Swartzwelder","8","21","174","13.97","",""
"174","In Marge We Trust","Marge becomes a church counselor","1997-04-27","Steven Dean Moore","Donick Cary","8","22","175","16.93","",""
"175","Homer's Enemy","Homer's laziness begets the ire of his industrious but arrogant new co-worker Frank Grimes","1997-05-04","Jim Reardon","John Swartzwelder","8","23","176","11.80","",""
"176","The Simpsons Spin-Off Showcase","Troy McClure presents three spinoffs: ""Chief Wiggins, P.I.,"" ""The Love-Matic Grandpa,"" and ""The Simpson Family Smile-Time Variety Hour.""","1997-05-11","Neil Affleck","Story by : Ken KeelerTeleplay by : David X. Cohen","8","24","177","11.57","",""
"177","The Secret War of Lisa Simpson","Bart is sent to a military school to be disciplined; Lisa, seeking a challenge, enrolls with him, but faces discrimination as the school's only girl cadet.","1997-05-18","Mike B. Anderson","Richard Appel","8","25","178","12.69","",""
"178","The City of New York vs. Homer Simpson","Homer must travel to New York to get his car back, which is illegally parked at World Trade Center Plaza.","1997-09-21","Jim Reardon","Ian Maxtone-Graham","9","1","179","17.5","",""
"179","The Principal and the Pauper","At his 20th anniversary celebration as school principal, Principal Skinner is discovered to be an imposter of the real Seymour Skinner.","1997-09-28","Steven Dean Moore","Ken Keeler","9","2","180","14.9","",""
"180","Lisa's Sax","Homer recounts the story of Bart's first day of school, which corresponds with the story of how Lisa got her saxophone.","1997-10-19","Dominic Polcino","Al Jean","9","3","181","12.9","",""
"181","Treehouse of Horror VIII","Homer battles mutants after Springfield is annihilated by a neutron bomb","1997-10-26","Mark Kirkland","Mike Scully","9","4","182","17.9","",""
"182","The Cartridge Family","After a massive soccer riot, Homer purchases a gun to protect the family.","1997-11-02","Pete Michels","John Swartzwelder","9","5","183","17.3","",""
"183","Bart Star","A damning report on childhood obesity in Springfield leads to the formation of a pee-wee football team. After belittling Ned Flanders, Homer ends up coaching the team, but his favoring of Bart makes him unpopular.","1997-11-09","Dominic Polcino","Donick Cary","9","6","184","17.6","",""
"184","The Two Mrs. Nahasapeemapetilons","Apu receives a letter from his mother stating that it's time for him fulfilled his arranged marriage obligation, he pretends Marge is his wife.","1997-11-16","Steven Dean Moore","Richard Appel","9","7","185","19.8","",""
"185","Lisa the Skeptic","Townspeople believe Lisa has unearthed the fossiled remains of a angel.","1997-11-23","Neil Affleck","David X. Cohen","9","8","186","16.0","",""
"186","Realty Bites","Marge becomes a real-estate agent.","1997-12-07","Swinton O. Scott III","Dan Greaney","9","9","187","17.7","",""
"187","Miracle on Evergreen Terrace","When Bart accidentally burns down the family's Christmas tree and gifts, he claims that a robber stole everything. As a result, the town gets them a new tree and pitches in to raise funds.","1997-12-21","Bob Anderson","Ron Hauge","9","10","188","16.2","",""
"188","All Singing, All Dancing","Homer is disappointed when the western he rented turns out to be a musical, so the family reminds him of the musical moments in the show's history.","1998-01-04","Mark Ervin","Steve O'Donnell","9","11","189","15.9","",""
"189","Bart Carny","Bart and Homer befriend two carnies and invite them to stay with them, but the carnies soon swindle the Simpsons out of their house.","1998-01-11","Mark Kirkland","John Swartzwelder","9","12","190","19.2","",""
"190","The Joy of Sect","An evil cult called the Movementarians brainwashes the citizens of Springfield and it's up to Marge to get them back.","1998-02-08","Steven Dean Moore","Steve O'Donnell","9","13","191","16.2","",""
"191","Das Bus","While the kids become stranded on a desert island, Homer attempts to cash in on the Internet.","1998-02-15","Pete Michels","David X. Cohen","9","14","192","16.6","",""
"192","The Last Temptation of Krust","After a disastrous performance, Krusty changes his image and becomes an edgy stand-up.","1998-02-22","Mike B. Anderson","Donick Cary","9","15","193","16.5","",""
"193","Dumbbell Indemnity","Homer and Moe attempt insurance fraud so that Moe can support his new girlfriend. When Homer ends up in jail, Moe has to decide whether or not to come forward.","1998-03-01","Dominic Polcino","Ron Hauge","9","16","194","17.4","",""
"194","Lisa the Simpson","Lisa fears she is losing her intelligence when she learns about the fabled Simpson gene. Meanwhile, Jasper freezes himself in the Kwik-E-Mart freezer.","1998-03-08","Susie Dietter","Ned Goldreyer","9","17","195","17.8","",""
"195","This Little Wiggy","Bart is reluctant to hang out with Ralph Wiggum, until he gains access to Chief Wiggum's master key to the city.","1998-03-22","Neil Affleck","Dan Greaney","9","18","196","15.0","",""
"196","Simpson Tide","Homer causes an international incident after he joins the Naval reserves.","1998-03-29","Mike B. Anderson","Joshua Sternin & Jennifer Ventimilia","9","19","197","14.8","",""
"197","The Trouble with Trillions","Homer is forced to spy for the IRS after an audit. But when he is asked to retrieve a trillion dollar bill from Mr. Burns, he switches sides and the two flee to Cuba for refuge.","1998-04-05","Swinton O. Scott III","Ian Maxtone-Graham","9","20","198","11.4","",""
"198","Girly Edition","Bart and Lisa become locked in competition when they anchor a children's news program","1998-04-19","Mark Kirkland","Larry Doyle","9","21","199","13.5","",""
"199","Trash of the Titans","Homer becomes the sanitation commissioner for Springfield. His ineptitude pollutes the town and leads to a drastic solution.","1998-04-26","Jim Reardon","Ian Maxtone-Graham","9","22","200","17.4","",""
"200","King of the Hill","After humiliating Bart at a church picnic, Homer resolves to get in shape. Soon, he is contacted by an energy bar company that wants him to climb a mountain as a promotion.","1998-05-03","Steven Dean Moore","John Swartzwelder","9","23","201","14.8","",""
"201","Lost Our Lisa","Lisa gets lost after she tries to take a bus to a museum.","1998-05-10","Pete Michels","Brian Scully","9","24","202","12.9","",""
"202","Natural Born Kissers","Homer and Marge's attempt to spice up their marriage leads to the couple being chased naked through Springfield.","1998-05-17","Klay Hall","Matt Selman","9","25","203","14.1","",""
"203","Lard of the Dance","Homer and Bart try to start their own grease business","1998-08-23","Dominic Polcino","Jane O'Brien","10","1","204","11.84","",""
"204","The Wizard of Evergreen Terrace","Homer's midlife crisis leads to a disastrous attempt at being an inventor.","1998-09-20","Mark Kirkland","John Swartzwelder","10","2","205","13.90","",""
"205","Bart the Mother","When Bart accidentally kills a mother bird, he tries to make amends by raising the eggs.","1998-09-27","Steven Dean Moore","David X. Cohen","10","3","206","11.94","",""
"206","Treehouse of Horror IX","Homer receives an evil hair transplant","1998-10-25","Steven Dean Moore","Donick Cary","10","4","207","15.12","",""
"207","When You Dish Upon a Star","Homer becomes a Hollywood insider when he befriends Alec Baldwin and Kim Basinger.","1998-11-08","Pete Michels","Richard Appel","10","5","208","15.34","",""
"208","D'oh-in' in the Wind","Homer becomes a hippie after a revelation about his middle name.","1998-11-15","Mark Kirkland & Matthew Nastuk","Donick Cary","10","6","209","13.94","",""
"209","Lisa Gets an 'A'","When Lisa cheats on a test, she has a moral crisis when her perfect score qualifies the school for grant money; Homer adopts a lobster as a pet.","1998-11-22","Bob Anderson","Ian Maxtone-Graham","10","7","210","13.61","",""
"210","Homer Simpson in: 'Kidney Trouble'","Homer gets cold feet before a transplant operation which could save Grampa's life.","1998-12-06","Mike B. Anderson","John Swartzwelder","10","8","211","12.38","",""
"211","Mayored to the Mob","Homer deals with corruption when he becomes Mayor Quimby's bodyguard.","1998-12-20","Swinton O. Scott III","Ron Hauge","10","9","212","13.90","",""
"212","Viva Ned Flanders","When Homer takes Ned to Las Vegas in an attempt to get him to loosen up, the two end up drunkenly marrying a pair of cocktail waitresses.","1999-01-10","Neil Affleck","David M. Stern","10","10","213","19.68","",""
"213","Wild Barts Can't Be Broken","The children of Springfield revolt after a curfew is enforced.","1999-01-17","Mark Ervin","Larry Doyle","10","11","214","15.21","",""
"214","Sunday, Cruddy Sunday","Homer and his friends head to the Super Bowl, but are forced to sneak in when they discover their tickets are counterfeit.","1999-01-31","Steven Dean Moore","Tom Martin, George Meyer, Brian Scully & Mike Scully","10","12","215","19.11","",""
"215","Homer to the Max","Homer changes his name to ""Max Power"" after discovering that he shares his name with a dimwitted TV character.","1999-02-07","Pete Michels","John Swartzwelder","10","13","216","13.98","",""
"216","I'm with Cupid","The husbands of Springfield plot revenge after Apu outshines them on Valentine's Day.","1999-02-14","Bob Anderson","Dan Greaney","10","14","217","12.35","",""
"217","Marge Simpson in: 'Screaming Yellow Honkers'","Marge's new SUV gives her a potent case of road rage.","1999-02-21","Mark Kirkland","David M. Stern","10","15","218","14.64","",""
"218","Make Room for Lisa","Lisa feels that her relationship with her father will never be close, and she develops stress-induced stomach pains; Marge inadvertently knocks out Milhouse.","1999-02-28","Matthew Nastuk","Brian Scully","10","16","219","12.40","",""
"219","Maximum Homerdrive","Homer takes Bart with him on a cross-country delivery on behalf of a trucker who died before completing it","1999-03-28","Swinton O. Scott III","John Swartzwelder","10","17","220","15.51","",""
"220","Simpsons Bible Stories","Three famous religious stories are retold Simpsons style as the family nods off at church.","1999-04-04","Nancy Kruse","Tim Long","10","18","221","12.86","",""
"221","Mom and Pop Art","Homer becomes the talk of the Springfield art community when a failed barbecue pit he worked on is mistaken for an art project.","1999-04-11","Steven Dean Moore","Al Jean","10","19","222","14.13","",""
"222","The Old Man and the 'C' Student","Bart is punished with community service at the Retirement Castle after he ruins Springfield's chances of hosting the Olympics.","1999-04-25","Mark Kirkland","Julie Thacker","10","20","223","11.16","",""
"223","Monty Can't Buy Me Love","When a wealthy man moves to Springfield, Mr. Burns begins to feel that he is losing his grasp on the citizens and decides to enlist the help of Homer.","1999-05-02","Mark Ervin","John Swartzwelder","10","21","224","12.59","",""
"224","They Saved Lisa's Brain","Lisa is invited to join the Springfield chapter of MENSA and after Mayor Quimby flees, the group ends up running the city. Meanwhile, Homer poses for a series of erotic photos.","1999-05-09","Pete Michels","Matt Selman","10","22","225","10.45","",""
"225","Thirty Minutes over Tokyo","The Simpsons must perform on a Japanese game show after Homer loses their money on a vacation.","1999-05-16","Jim Reardon","Donick Cary & Dan Greaney","10","23","226","12.51","",""
"226","Beyond Blunderdome","Convinced he's the only man with guts to tell him the truth, Mel Gibson insists Homer accompanies him in Hollywood to help fix his newest film project.","1999-09-26","Steven Dean Moore","Mike Scully","11","1","227","8.1","",""
"227","Brother's Little Helper","Bart is put on medication to control his behavior, but the pills cause him to become paranoid and insane.","1999-10-03","Mark Kirkland","George Meyer","11","2","228","7.1","",""
"228","Guess Who's Coming to Criticize Dinner?","When Homer is hired as a local food critic by a newspaper in Springfield, he finds himself in deep trouble after his reviews turn out to be too critical.","1999-10-24","Nancy Kruse","Al Jean","11","3","229","6.7","",""
"229","Treehouse of Horror X","The Simpsons attempt to cover up their accidental murder of Ned Flanders. Bart and Lisa acquire super powers. An electronic apocalypse threatens Springfield.","1999-10-31","Pete Michels","Donick Cary","11","4","230","8.7","",""
"230","E-I-E-I-(Annoyed Grunt)","Homer cowards out of a pistol-duel and hides out with the rest of the family on a country farm.","1999-11-07","Bob Anderson","Ian Maxtone-Graham","11","5","231","8.4","",""
"231","Hello Gutter, Hello Fadder","Homer becomes a minor celebrity around Springfield after bowling a perfect game.","1999-11-14","Mike B. Anderson","Al Jean","11","6","232","9.2","",""
"232","Eight Misbehavin'","Apu struggles with fatherhood after Manjula gives birth to octuplets.","1999-11-21","Steven Dean Moore","Matt Selman","11","7","233","9.2","",""
"233","Take My Wife, Sleaze","Homer's attempt at creating a motorcycle gang attracts a real gang, who kidnap Marge.","1999-11-28","Neil Affleck","John Swartzwelder","11","8","234","8.9","",""
"234","Grift of the Magi","A toy company purchases Springfield Elementary and uses the student body as a focus group for their new Christmas toy Funzo.","1999-12-19","Matthew Nastuk","Tom Martin","11","9","235","7.76","",""
"235","Little Big Mom","Lisa finds out how rough Marge has it when her mom is in traction and she becomes the woman of the house. Homer and Bart's antics get her so worked up she conspires to teach them a lesson.","2000-01-09","Mark Kirkland","Carolyn Omine","11","10","236","10","",""
"236","Faith Off","Bart is led to believe he has special healing powers after a tent revival.","2000-01-16","Nancy Kruse","Frank Mula","11","11","237","10.4","",""
"237","The Mansion Family","Homer receives responsibility for Mr. Burns' mansion when he is on leave and takes Burns' yacht to international waters to have a party.","2000-01-23","Mike Frank Polcino","John Swartzwelder","11","12","238","11.3","",""
"238","Saddlesore Galactica","The Simpsons get an abused horse and make him a contender in horse racing. Homer finds out a secret conspiracy about jockeys. Lisa tries to reach President Clinton when the results of a school band talent competition seem tainted.","2000-02-06","Lance Kramer","Tim Long","11","13","239","9.6","",""
"239","Alone Again, Natura-Diddily","Ned deals with his grief after Maude's untimely death.","2000-02-13","Jim Reardon","Ian Maxtone-Graham","11","14","240","10.8","",""
"240","Missionary: Impossible","When Homer is wanted dead for reneging on a 10,000 dollar pledge to PBS, Reverend Lovejoy sets him up for missionary work in the South Pacific until the heat dies down.","2000-02-20","Steven Dean Moore","Ron Hauge","11","15","241","9.8","",""
"241","Pygmoelian","Plastic surgery not only transforms Moe the Bartender from ugly to hunky, it helps gets him a job on a hit daytime drama.","2000-02-27","Mark Kirkland","Larry Doyle","11","16","242","9.4","",""
"242","Bart to the Future","Bart gets a glimpse of the future while the family is on vacation at an Indian casino.","2000-03-19","Michael Marcantel","Dan Greaney","11","17","243","8.77","",""
"243","Days of Wine and D'oh'ses","Homer doesn't like it when Barney quits drinking","2000-04-09","Neil Affleck","Dan Castellaneta & Deb Lacusta","11","18","244","8.3","",""
"244","Kill the Alligator and Run","Fearing he only has three years to live, Homer takes the family on a vacation to Florida, where they become fugitives after seemingly killing a famous alligator.","2000-04-30","Jen Kamerman","John Swartzwelder","11","19","245","7.46","",""
"245","Last Tap Dance in Springfield","Lisa has difficulties learning to tap dance","2000-05-07","Nancy Kruse","Julie Thacker","11","20","246","7.3","",""
"246","It's a Mad, Mad, Mad, Mad Marge","Everybody loves the new Simpsons' house guest Becky. Except Marge, who thinks Becky wants to kill her.","2000-05-14","Steven Dean Moore","Larry Doyle","11","21","247","7.5","",""
"247","Behind the Laughter","Fans are invited to take a behind-the-scenes look at ""The Simpsons,"" revisiting some of the most memorable experiences the family has been through.","2000-05-21","Mark Kirkland","Tim Long, George Meyer, Mike Scully & Matt Selman","11","22","248","8.3","",""
"248","Treehouse of Horror XI","Homer must do one good deed to get into Heaven","2000-11-01","Matthew Nastuk","Rob LaZebnik","12","1","249","13.23","",""
"249","A Tale of Two Springfields","Springfield is split in two when Homer revolts because his area code is changed","2000-11-05","Shaun Cashman","John Swartzwelder","12","2","250","16.18","",""
"250","Insane Clown Poppy","After he learns he has a daughter, Krusty turns to Homer for parenting advice.","2000-11-12","Bob Anderson","John Frink & Don Payne","12","3","251","16.44","",""
"251","Lisa the Tree Hugger","Lisa's crush on an environmental activist inspires her to live in a tree threatened by loggers.","2000-11-19","Steven Dean Moore","Matt Selman","12","4","252","14.87","",""
"252","Homer vs. Dignity","Desperate for money, Homer accepts payment from Mr. Burns in exchange for humiliating himself.","2000-11-26","Neil Affleck","Rob LaZebnik","12","5","253","14.99","",""
"253","The Computer Wore Menace Shoes","Homer's gossip website becomes a huge hit, but when his information runs out he resorts to making up news.","2000-12-03","Mark Kirkland","John Swartzwelder","12","6","254","15.60","",""
"254","The Great Money Caper","The whole town of Springfield conspires to teach Homer and Bart a lesson after the pair begin running confidence scams.","2000-12-10","Mike Frank Polcino","Carolyn Omine","12","7","255","16.84","",""
"255","Skinner's Sense of Snow","A freak blizzard traps the students of Springfield Elementary inside their school. Their lives at stake, they are at the mercy of the rescue efforts of a woozy Homer and Ned.","2000-12-17","Lance Kramer","Tim Long","12","8","256","15.87","",""
"256","HOMR","An X-ray reveals a crayon lodged in Homer's brain. After the crayon is removed, Homer experiences a sudden surge in intelligence, making him closer to Lisa and isolated from his friends.","2001-01-07","Mike B. Anderson","Al Jean","12","9","257","18.52","",""
"257","Pokey Mom","Marge befriends a convict with an artistic streak. Meanwhile, Homer battles the chiropractic industry after he creates a miracle back pain cure.","2001-01-14","Bob Anderson","Tom Martin","12","10","258","15.01","",""
"258","Worst Episode Ever","Bart and Milhouse are left in charge of the comic book store after Comic Book Guy is hospitalized.","2001-02-04","Matthew Nastuk","Larry Doyle","12","11","259","18.50","",""
"259","Tennis the Menace","Homer installs a tennis court in the backyard, but his lousy playing creates a rift in the family.","2001-02-11","Jen Kamerman","Ian Maxtone-Graham","12","12","260","13.98","",""
"260","Day of the Jackanapes","When a new television game show grows in popularity and begins to draw away Krusty's TV audience e decided to retire from the television business.","2001-02-18","Michael Marcantel","Al Jean","12","13","261","15.39","",""
"261","New Kids on the Blecch","A music producer offers Bart and his friends a chance to participate in an up-and-coming boyband, but the boys are not up to it after making a discovery.","2001-02-25","Steven Dean Moore","Tim Long","12","14","262","18.12","",""
"262","Hungry, Hungry Homer","Homer is forced to go on a hunger strike by the Springfield Isotopes after uncovering a secret plan to have the baseball team moved to New Mexico.","2001-03-04","Nancy Kruse","John Swartzwelder","12","15","263","17.55","",""
"263","Bye Bye Nerdie","Problems with a bully lead Lisa to examine just what makes bullies aggressive. Meanwhile, Homer gets into the baby-proofing business.","2001-03-11","Lauren MacMullan","John Frink & Don Payne","12","16","264","16.11","",""
"264","Simpson Safari","The Simpsons win a trip to Africa after Homer finds a golden animal cracker from the 60's in the loft.","2001-04-01","Mark Kirkland","John Swartzwelder","12","17","265","13.28","",""
"265","Trilogy of Error","Homer's rush to the hospital to re-attach his severed thumb, Lisa's rush to school to win the science fair, and Bart's run-in with an illegal fireworks scheme interconnect from their point of view.","2001-04-29","Mike B. Anderson","Matt Selman","12","18","266","14.41","",""
"266","I'm Goin' to Praiseland","With Homer's help, Flanders tries to establish a Christian theme park based on drawings in Maude's sketch book.","2001-05-06","Chuck Sheetz","Julie Thacker","12","19","267","13.06","",""
"267","Children of a Lesser Clod","After a debilitating injury forces him to stay indoors, Homer begins a daycare center.","2001-05-13","Mike Frank Polcino","Al Jean","12","20","268","13.81","",""
"268","Simpsons Tall Tales","A hobo tells the Simpsons tall tales on a train ride to Delaware. In the first story, Homer is outcast from society as Paul Bunyan. Then, Lisa travels the country planting trees as Connie Appleseed. Finally, Bart and Nelson raft down the Mississippi as Tom Sawyer and Huck Finn.","2001-05-20","Bob Anderson","John Frink & Don Payne","12","21","269","13.43","",""
"269","Treehouse of Horror XII","A gypsy puts a curse on Homer","2001-11-06","Jim Reardon","Joel H. Cohen","13","1","270","13.04","",""
"270","The Parent Rap","After Bart takes a joyride in a police car, a judge orders him to be tethered to Homer at all times.","2001-11-11","Mark Kirkland","George Meyer & Mike Scully","13","2","271","14.91","",""
"271","Homer the Moe","Homer and his friends are forced to drink in the Simpsons' garage after Moe the Bartender renovates his shady bar into a hipster hangout.","2001-11-18","Jen Kamerman","Dana Gould","13","3","272","14.44","",""
"272","A Hunka Hunka Burns in Love","Mr. Burns falls in love with a younger woman and recruits Homer to help him impress her.","2001-12-02","Lance Kramer","John Swartzwelder","13","4","273","13.38","",""
"273","The Blunder Years","A hypnotist uncovers a traumatic experience from Homer's childhood.","2001-12-09","Steven Dean Moore","Ian Maxtone-Graham","13","5","274","12.93","",""
"274","She of Little Faith","Homer and Bart get careless with a model rocket and accidentally do damage to Springfield's church, but when Mr. Burns offers to commercialize it to repair the destruction, Lisa leaves Christianity behind to become a Buddhist.","2001-12-16","Steven Dean Moore","Bill Freiberger","13","6","275","13.18","",""
"275","Brawl in the Family","A social services officer brings unity to the Simpson family, but their newfound happiness is threatened when the cocktail waitress Homer married in Vegas shows up at their door.","2002-01-06","Matthew Nastuk","Joel H. Cohen","13","7","276","11.83","",""
