"id","title","description","original_air_date","directed_by","written_by","season","number_in_season","number_in_series","us_viewers_in_millions","imdb_rating","tmdb_rating"
"31","Lisa's Substitute","Lisa has a crush on her substitute teacher and Bart decides to run for class president.","1991-04-25","Rich Moore","Jon Vitti","2","19","32","17.7","",""
"32","The War of the Simpsons","Homer must decide whether he should complete marriage counseling or skip out to catch a legendary catfish and Bart and Lisa take advantage of Grampa's ignorance of the house rules.","1991-05-02","Mark Kirkland","John Swartzwelder","2","20","33","19.7","",""
"33","Three Men and a Comic Book","Bart, Milhouse and Martin each pitch in to buy an expensive comic book, which soon has a disastrous effect on their friendship.","1991-05-09","Wes Archer","Jeff Martin","2","21","34","21.0","",""
"34","Blood Feud","After Bart saves Mr. Burns' life with a blood transfusion, Homer vows revenge when they receive only a ""thank you"" card as compensation.","1991-07-11","David Silverman","George Meyer","2","22","35","17.3","",""
"35","Stark Raving Dad","Homer accidentally lands in a mental hospital and ends up sharing a room with a white man who thinks he is Michael Jackson.","1991-09-19","Rich Moore","Al Jean & Mike Reiss","3","1","36","22.9","",""
"36","Mr. Lisa Goes to Washington","After winning a political essay contest, Lisa is invited to Washington, D.C., but she soon becomes upset after discovering how policy-making really works.","1991-09-26","Wes Archer","George Meyer","3","2","37","20.2","",""
"37","When Flanders Failed","After wishing for Flanders to lose his business, Homer discovers that his neighbor is actually about to go bankrupt and decides to help him out.","1991-10-03","Jim Reardon","Jon Vitti","3","3","38","22.8","",""
"38","Bart the Murderer","After having a horrible day, Bart gets a job tending bar for a group of gangsters and becomes the prime suspect when Principal Skinner mysteriously disappears.","1991-10-10","Rich Moore","John Swartzwelder","3","4","39","20.8","",""
"39","Homer Defined","Homer is a hero after averting a nuclear meltdown that he nearly caused, but he doesn't want to tell anyone that he stopped it completely by accident.","1991-10-17","Mark Kirkland","Howard Gewirtz","3","5","40","20.6","",""
"40","Like Father, Like Clown","Bart and Lisa try to reunite Krusty the Clown with his father.","1991-10-24","Jeffrey Lynch & Brad Bird","Jay Kogen & Wallace Wolodarsky","3","6","41","20.2","",""
"41","Treehouse of Horror II","The Simpson family receives a severed monkey's paw which can grant wishes, Bart gains magical powers which he uses to turn Homer into a Jack-in-the-box, and Mr. Burns uses Homer's brain to create a robot.","1991-10-31","Jim Reardon","Al Jean & Mike Reiss","3","7","42","20.0","",""
"42","Lisa's Pony","Homer buys Lisa a pony that the family can ill afford.","1991-11-07","Carlos Baeza","Al Jean & Mike Reiss","3","8","43","23.0","",""
"43","Saturdays of Thunder","After Homer fails a fathering test, he decides to help Bart build his Soap Box Derby racer.","1991-11-14","Jim Reardon","Ken Levine & David Isaacs","3","9","44","24.7","",""
"44","Flaming Moe's","Moe claims a drink that Homer invented is his own, with the drink making the bar a local hot spot, but threatens his friendship with Homer.","1991-11-21","Rich Moore & Alan Smart","Robert Cohen","3","10","45","23.9","",""
"45","Burns Verkaufen der Kraftwerk","Burns decides to retire and sells the power plant to a German consortium for an exorbitant price. Homer's laziness and inefficiency are quickly exposed by his new bosses, and he is laid off.","1991-12-05","Mark Kirkland","Jon Vitti","3","11","46","21.1","",""
"46","I Married Marge","As Marge goes to the doctor for a pregnancy test, Homer tells the children of the events leading up to his marriage, and Bart's birth.","1991-12-26","Jeffrey Lynch","Jeff Martin","3","12","47","21.9","",""
"47","Radio Bart","After Bart receives a microphone which can transmit through radios, he decides to pull a series of pranks and eventually convinces the town that a boy has fallen down a well.","1992-01-09","Carlos Baeza","Jon Vitti","3","13","48","24.2","",""
"48","Lisa the Greek","Homer uses Lisa (and her prognostic skills) to help him bet on football games.","1992-01-23","Rich Moore","Jay Kogen & Wallace Wolodarsky","3","14","49","23.2","",""
"49","Homer Alone","While Marge spends a couple of days at Rancho Relaxo after she has a breakdown, Bart and Lisa stay with Patty and Selma, and Homer stays at home to take care of Maggie.","1992-02-06","Mark Kirkland","David M. Stern","3","15","50","23.7","",""
"50","Bart the Lover","After Mrs. Krabappel gives Bart a month of detention, he gets his revenge by responding to her newspaper singles ad; Homer uses a swear jar to cut down on his cursing.","1992-02-13","Carlos Baeza","Jon Vitti","3","16","51","20.5","",""
"51","Homer at the Bat","Homer and his co-workers qualify for the plant softball team's league final, but Mr. Burns hires nine professional MLB players in order to win a $1 million bet.","1992-02-20","Jim Reardon","John Swartzwelder","3","17","52","24.6","",""
"52","Separate Vocations","Lisa and Bart take an examination at the school that is supposed to determine what they will be when they grow up, but the kids are not so sure.","1992-02-27","Jeffrey Lynch","George Meyer","3","18","53","23.7","",""
"53","Dog of Death","After the Simpsons regret paying for an expensive surgery for Santa's Little Helper, he runs away from home and is trained by Mr. Burns to become an attack dog.","1992-03-12","Jim Reardon","John Swartzwelder","3","19","54","23.4","",""
"54","Colonel Homer","Homer becomes the manager of a beautiful young country singer and finds himself almost attracted to her, sparking Marge's jealousy.","1992-03-26","Mark Kirkland","Matt Groening","3","20","55","25.5","",""
